accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,subspecies,strain,sample_ID,total_filtered_reads_in_sample,reads_per_million,match,date_parsed,sample_type
MF588693.1,7226,701,38,0.74222726000000006,0.190888,"Gammapapillomavirus sp. isolate Gamma_w34c04a, complete genome",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.3793584596544366,7,2025-01-27,Wastewater
MF588754.1,7270,1000,40,0.7408708,0.199719,"Gammapapillomavirus sp. isolate Gammai915_ga2c70, complete genome",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.4519562733204596,7,2025-01-27,Wastewater
MF588792.1,1997,708,28,2.1413102,0.508948,"Gammapapillomavirus sp. isolate iGammaDysk6_w20c207a L1 (L1) and E6 (E6) genes, partial cds",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.0163693913243217,7,2025-01-27,Wastewater
MF588782.1,4152,1304,42,1.4657671,0.367185,"Gammapapillomavirus 22 isolate iGamma22_m090c255 E7 (E7), E1 (E1), E2 (E2), and E4 (E4) genes, complete cds",1961679,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 22,unclassified Gammapapillomavirus 22 subspecies/strain,unclassified Gammapapillomavirus 22 strain,W153,27549039,1.5245540869864826,7,2025-01-27,Wastewater
MF588756.1,7230,988,34,0.814548,0.1707,"Gammapapillomavirus sp. isolate GammaiDysk6_wg1c05, complete genome",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.2341628323223908,7,2025-01-27,Wastewater
MF588749.1,7283,799,29,0.57787746,0.144538,"Gammapapillomavirus 24 isolate Gamma24_w07c74b, complete genome",1961681,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,unclassified Gammapapillomavirus 24 subspecies/strain,unclassified Gammapapillomavirus 24 strain,W153,27549039,1.0526682981573332,7,2025-01-27,Wastewater
MF588748.1,7304,1073,44,0.9566676,0.218668,"Gammapapillomavirus 24 isolate Gamma24_m090c66, complete genome",1961681,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,unclassified Gammapapillomavirus 24 subspecies/strain,unclassified Gammapapillomavirus 24 strain,W153,27549039,1.5971519006525055,7,2025-01-27,Wastewater
MF588747.1,7298,1245,52,1.0885563,0.258638,"Gammapapillomavirus 24 isolate Gamma24_EV06c107, complete genome",1961681,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,unclassified Gammapapillomavirus 24 subspecies/strain,unclassified Gammapapillomavirus 24 strain,W153,27549039,1.8875431553165976,7,2025-01-27,Wastewater
MF588746.1,7300,918,44,1.2444755,0.218788,"Gammapapillomavirus 24 isolate Gamma24_EV03c40, complete genome",1961681,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 24,unclassified Gammapapillomavirus 24 subspecies/strain,unclassified Gammapapillomavirus 24 strain,W153,27549039,1.5971519006525055,7,2025-01-27,Wastewater
MF588739.1,7260,1874,73,1.5783404,0.364989,"Gammapapillomavirus 22 isolate Gamma22_TVMBSWc141, complete genome",1961679,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 22,unclassified Gammapapillomavirus 22 subspecies/strain,unclassified Gammapapillomavirus 22 strain,W153,27549039,2.649820198809839,7,2025-01-27,Wastewater
MF588737.1,7285,1471,77,1.5971969,0.383667,"Gammapapillomavirus 22 isolate Gamma22_m090c145, complete genome",1961679,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 22,unclassified Gammapapillomavirus 22 subspecies/strain,unclassified Gammapapillomavirus 22 strain,W153,27549039,2.795015826141885,7,2025-01-27,Wastewater
MF588733.1,7282,771,56,1.1707796,0.279146,"Gammapapillomavirus 19 isolate Gamma19_w18c11d, complete genome",1513264,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 19,unclassified Gammapapillomavirus 19 subspecies/strain,unclassified Gammapapillomavirus 19 strain,W153,27549039,2.0327387826486434,7,2025-01-27,Wastewater
MF588731.1,7236,729,40,0.68346035,0.200657,"Gammapapillomavirus 18 isolate Gamma18_w34c34a, complete genome",1513263,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 18,unclassified Gammapapillomavirus 18 subspecies/strain,unclassified Gammapapillomavirus 18 strain,W153,27549039,1.4519562733204596,7,2025-01-27,Wastewater
MF588730.1,7292,853,33,0.57966954,0.164271,"Gammapapillomavirus 18 isolate Gamma18_EV07c385, complete genome",1513263,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 18,unclassified Gammapapillomavirus 18 subspecies/strain,unclassified Gammapapillomavirus 18 strain,W153,27549039,1.197863925489379,7,2025-01-27,Wastewater
MF588727.1,7221,3565,42,0.8878518,0.211128,"Gammapapillomavirus 15 isolate Gamma15_wg1c09, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W153,27549039,1.5245540869864826,7,2025-01-27,Wastewater
MF588726.1,7262,870,48,1.0219347,0.239927,"Gammapapillomavirus 15 isolate Gamma15_w20c10a, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W153,27549039,1.7423475279845515,7,2025-01-27,Wastewater
MF588725.1,7262,902,43,0.8484252,0.214934,"Gammapapillomavirus 15 isolate Gamma15_w18c134, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W153,27549039,1.560852993819494,7,2025-01-27,Wastewater
MF588724.1,7272,1277,50,1.0512496,0.24958,"Gammapapillomavirus 15 isolate Gamma15_EV03c104, complete genome",1513260,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 15,unclassified Gammapapillomavirus 15 subspecies/strain,unclassified Gammapapillomavirus 15 strain,W153,27549039,1.8149453416505745,7,2025-01-27,Wastewater
MF588719.1,7110,1326,49,1.0602012,0.250161,"Gammapapillomavirus 12 isolate Gamma12_w23c77, complete genome",1513257,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 12,unclassified Gammapapillomavirus 12 subspecies/strain,unclassified Gammapapillomavirus 12 strain,W153,27549039,1.7786464348175628,7,2025-01-27,Wastewater
MF588717.1,7115,637,58,1.2491027,0.295901,"Gammapapillomavirus 12 isolate Gamma12_w07c68b, complete genome",1513257,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 12,unclassified Gammapapillomavirus 12 subspecies/strain,unclassified Gammapapillomavirus 12 strain,W153,27549039,2.1053365963146664,7,2025-01-27,Wastewater
MF588712.1,7257,2428,118,2.3652737,0.590226,"Gammapapillomavirus 9 isolate Gamma09_w27c39c, complete genome",1175851,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,unclassified Gammapapillomavirus 9 subspecies/strain,unclassified Gammapapillomavirus 9 strain,W153,27549039,4.283271006295355,7,2025-01-27,Wastewater
MF588711.1,7301,1387,108,2.244721,0.536951,"Gammapapillomavirus 9 isolate Gamma09_w23c101c, complete genome",1175851,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,unclassified Gammapapillomavirus 9 subspecies/strain,unclassified Gammapapillomavirus 9 strain,W153,27549039,3.920281937965241,7,2025-01-27,Wastewater
MF588710.1,7289,1215,79,1.6598964,0.393417,"Gammapapillomavirus 9 isolate Gamma09_w11C39, complete genome",1175851,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 9,unclassified Gammapapillomavirus 9 subspecies/strain,unclassified Gammapapillomavirus 9 strain,W153,27549039,2.8676136398079075,7,2025-01-27,Wastewater
MF588707.1,7243,936,86,1.7352319,0.430996,"Gammapapillomavirus 8 isolate Gamma08_TVMBSHc33, complete genome",1175850,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,unclassified Gammapapillomavirus 8 subspecies/strain,unclassified Gammapapillomavirus 8 strain,W153,27549039,3.121705987638988,7,2025-01-27,Wastewater
MF588706.1,7262,605,44,0.8616423,0.219933,"Gammapapillomavirus 8 isolate Gamma08_TVMBSGc529, complete genome",1175850,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,unclassified Gammapapillomavirus 8 subspecies/strain,unclassified Gammapapillomavirus 8 strain,W153,27549039,1.5971519006525055,7,2025-01-27,Wastewater
MF588704.1,7227,1149,52,0.9936414,0.261179,"Gammapapillomavirus 8 isolate Gamma08_do1c232, complete genome",1175850,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 8,unclassified Gammapapillomavirus 8 subspecies/strain,unclassified Gammapapillomavirus 8 strain,W153,27549039,1.8875431553165976,7,2025-01-27,Wastewater
MF588699.1,7327,1378,68,1.3834472,0.336881,"Gammapapillomavirus 7 isolate Gamma07_EV03c60, complete genome",1175849,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 7,unclassified Gammapapillomavirus 7 subspecies/strain,unclassified Gammapapillomavirus 7 strain,W153,27549039,2.4683256646447815,7,2025-01-27,Wastewater
MF588694.1,7271,617,54,1.0683893,0.269583,"Gammapapillomavirus sp. isolate Gamma_w34c14a, complete genome",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.9601409689826206,7,2025-01-27,Wastewater
MF588691.1,7127,652,45,0.85982513,0.229192,"Gammapapillomavirus sp. isolate Gamma_w27c52c, complete genome",2049444,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus sp.,unclassified Gammapapillomavirus sp. subspecies/strain,unclassified Gammapapillomavirus sp. strain,W153,27549039,1.633450807485517,7,2025-01-27,Wastewater
MF352432.1,8295,2451,245,4.4433393,1.07212,"Aichivirus A strain Wencheng-Rt386-2 polyprotein gene, complete cds",72149,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Kobuvirus,Aichivirus A,unclassified Aichivirus A subspecies/strain,unclassified Aichivirus A strain,W153,27549039,8.893232174087814,7,2025-01-27,Wastewater
KF861773.1,1730,727,493,44.720886,10.3441,"Porcine picobirnavirus strain 221/04-16/ITA/2004 segment S, complete sequence",442302,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Picobirnaviridae,Picobirnavirus,Porcine picobirnavirus,unclassified Porcine picobirnavirus subspecies/strain,unclassified Porcine picobirnavirus strain,W153,27549039,17.895361068674664,7,2025-01-27,Wastewater
KX783423.1,8938,1402,70,1.1107192,0.284283,"Rosavirus B strain RNCW0602091R polyprotein gene, complete cds",1902501,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Rosavirus,Rosavirus B,unclassified Rosavirus B subspecies/strain,unclassified Rosavirus B strain,W153,27549039,2.540923478310804,7,2025-01-27,Wastewater
JF804992.1,842,634,33,8.543352,1.42264,"Human rotavirus A strain 6212 VP4 (VP4) gene, partial cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,1.197863925489379,7,2025-01-27,Wastewater
KC769372.1,2686,1608,260,15.425867,3.51367,UNVERIFIED: Rotavirus A strain RVA/Human-wt/AUS/CK00065/2007/G1P[8] segment 2 genomic sequence,28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,9.437715776582987,7,2025-01-27,Wastewater
HQ661113.1,2708,2056,112,5.921814,1.50128,"Rotavirus A strain RVA/Human-tc/ITA/PA260-97/1997/G3P[3] VP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,4.065477565297287,7,2025-01-27,Wastewater
HQ661114.1,2591,1363,255,13.278165,3.57245,"Rotavirus A strain RVA/Human-tc/ITA/PA260-97/1997/G3P[3] VP3 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,9.25622124241793,7,2025-01-27,Wastewater
HQ661116.1,1356,752,96,12.120233,2.56983,"Rotavirus A strain RVA/Human-tc/ITA/PA260-97/1997/G3P[3] VP6 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,3.484695055969103,7,2025-01-27,Wastewater
KX778615.1,2328,877,400,26.161615,6.23693,"Rotavirus A isolate Hu/DOM/2013840364/2013/G4P[6-8_R] VP4 (VP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,14.519562733204596,7,2025-01-27,Wastewater
KY055429.1,2585,2327,3936,240.4427,55.2698,"Rotavirus A strain RVA/Goat-wt/UGA/BUW-14-085/2014/G6P[1] VP3 (VP3) mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,142.87249729473322,7,2025-01-27,Wastewater
KC178814.1,1062,988,214,37.986843,7.31447,"Rotavirus A strain PA17/2008 VP7 mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,7.767966062264458,7,2025-01-27,Wastewater
KU048554.1,2735,1828,337,18.526112,4.47266,"Rotavirus A isolate Hu-wt/ITA/PA525/14/2014/G12P8 VP2 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,12.232731602724872,7,2025-01-27,Wastewater
JX040433.1,906,650,1210,230.75,48.4787,"Rotavirus A strain RVA/human-wt/IND/N-1/2009/G6P[14] non-structural protein NSP4 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,43.921677267943906,7,2025-01-27,Wastewater
D38055.1,1061,534,148,23.817783,5.06337,"Human rotavirus A mRNA for VP7, complete cds, strain:Mc345",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,5.3722382112857,7,2025-01-27,Wastewater
KF371682.1,1062,945,188,27.0625,6.4258,"Human rotavirus A strain RVA/Human-tc/CHN/L148/2004/G3P[8] segment 9, complete sequence",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,6.82419448460616,7,2025-01-27,Wastewater
KT695085.1,2359,792,82,6.6491623,1.26177,"Human rotavirus A strain RVA/Human-tc/USA/DC3695-40-AG/1989/G1P[8] VP4 (VP4) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,2.976510360306942,7,2025-01-27,Wastewater
KU356614.1,1059,746,296,51.162815,10.1459,"Human rotavirus A strain RVA/Human-wt/BGN/M313/2013/G2P[4] NSP2 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,10.7444764225714,7,2025-01-27,Wastewater
KU356605.1,751,577,403,95.419304,19.4786,"Human rotavirus A strain RVA/Human-wt/BGN/M315/2013/G2P[4] NSP4 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,14.62845945370363,7,2025-01-27,Wastewater
MG181720.1,750,725,1676,338.99335,81.116,"Rotavirus A strain RVA/Human-wt/MWI/BID263/2014/G1P[8] nonstructural protein 4 (NSP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,60.83696785212726,7,2025-01-27,Wastewater
LC328240.1,1593,1086,79,7.4483714,1.80013,"Rotavirus A RVA/Cat-tc/JPN/FRV303/1993/G3P[3] NSP1 gene for non-structural protein 1, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,2.8676136398079075,7,2025-01-27,Wastewater
KJ870889.1,3302,751,62,3.3115482,0.681566,"Rotavirus A strain RVA/Human-wt/COD/KisB554/2010/G8P[6] segment 1, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,2.250532223646712,7,2025-01-27,Wastewater
KJ753392.1,2530,1172,483,32.27731,6.92979,"Rotavirus A strain RVA/Human-wt/ETH/MRC-DPRU861/XXXX/G12P[6] segment 3 RNA capping protein VP3 (VP3) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,17.532372000344548,7,2025-01-27,Wastewater
KJ639017.1,1062,977,61,11.097588,2.08497,"Rotavirus A isolate RVA/Human/JPN/S13-30/2013/G3P[4] segment 9 VP7 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,2.214233316813701,7,2025-01-27,Wastewater
KC687007.1,1367,556,45,6.086278,1.19492,"Rotavirus A strain RVA/Human-wt/CMR/6795/1999/G9P[8] structural protein VP2 (VP2) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,1.633450807485517,7,2025-01-27,Wastewater
KC175185.1,1343,818,94,12.174351,2.54065,"Rotavirus A strain RVA/Human-wt/IND/N198/2004/G10P[11] segment 6 inner capsid protein VP6 (VP6) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,3.41209724230308,7,2025-01-27,Wastewater
KC178774.1,2687,1358,227,14.303903,3.06656,"Rotavirus A strain PAI11/1996 VP2 mRNA, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,8.239851851093608,7,2025-01-27,Wastewater
LC055551.1,1356,1060,860,107.68657,23.0214,"Human rotavirus A VP6 gene for structural protein VP6, complete cds, strain: RVA/Human-wt/THA/SKT-27/2012/G6P[14]",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,31.21705987638988,7,2025-01-27,Wastewater
KU356637.1,1066,508,408,62.854805,13.893,"Human rotavirus A strain RVA/Human-wt/BGN/M310/2013/G2P[4] NSP3 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,14.809953987868687,7,2025-01-27,Wastewater
KU356638.1,751,536,103,26.462563,4.97841,"Human rotavirus A strain RVA/Human-wt/BGN/M310/2013/G2P[4] NSP4 gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,3.7387874038001834,7,2025-01-27,Wastewater
KU714457.1,2591,602,162,6.362966,2.26956,"Rotavirus A strain RVA/Human-wt/MWI/MW2-181_B/2000/G1P[8] segment 3, complete sequence",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,5.880422906947862,7,2025-01-27,Wastewater
MG181725.1,2359,1854,314,21.891806,4.83165,"Rotavirus A strain RVA/Human-wt/MWI/BID2MT/2014/G1P[8] structural protein 4 (VP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,11.397856745565608,7,2025-01-27,Wastewater
MG181854.1,3303,2925,845,39.99017,9.28628,"Rotavirus A strain RVA/Human-wt/MWI/BID14Z/2012/G2P[4] structural protein 1 (VP1) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,30.672576273894705,7,2025-01-27,Wastewater
KU508380.1,3302,575,52,2.1462564,0.571636,"Rotavirus A strain RVA/Human-wt/HUN/182-02/2002/G8P[14] VP1 gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,1.8875431553165976,7,2025-01-27,Wastewater
KJ753404.1,2282,1280,159,11.749062,2.52915,"Rotavirus A strain RVA/Human-wt/ZAF/MRC-DPRU2131/2005/G8P[8] segment 4 putative outer capsid spike protein VP4 (VP4) gene, partial cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,5.771526186448827,7,2025-01-27,Wastewater
KX171542.1,2546,1417,224,13.623122,3.19362,"Human rotavirus A strain CAU14-09 RNA capping enzyme (VP3) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,8.130955130594574,7,2025-01-27,Wastewater
KC442988.1,2333,1401,386,26.687586,6.00573,UNVERIFIED: Rotavirus A strain RVA/Human-wt/USA/VU05-06-66/2005/G2P[4] segment 4 genomic sequence,28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,14.011378037542434,7,2025-01-27,Wastewater
KR262149.1,3302,2271,164,8.053934,1.80285,"Human rotavirus A isolate RVA/Human-tc/KOR/CAU14-1-262/2014/G3P[9] VP1 protein (VP1) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,5.953020720613884,7,2025-01-27,Wastewater
MF184783.1,1014,937,291,44.45486,10.4171,"Rotavirus A strain RVA/Human-wt/USA/CNMC109/2011/G3P[6] segment 8 non-structural protein 2 (NSP2) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,10.562981888406343,7,2025-01-27,Wastewater
MG181659.1,2359,1209,139,8.9764595,2.13885,"Rotavirus A strain RVA/Human-wt/MWI/BID2BS/2013/G1P[8] structural protein 4 (VP4) gene, complete cds",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,5.045548049788597,7,2025-01-27,Wastewater
LC158124.1,1032,763,59,10.5079365,2.07523,"Rotavirus A NSP3 gene for NSP3, complete cds, strain: RVA/Bat-wt/ZMB/LUS12-14/2012/G3P[3]",28875,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,unclassified Rotavirus A subspecies/strain,unclassified Rotavirus A strain,W153,27549039,2.1416355031476777,7,2025-01-27,Wastewater
JF304929.1,2359,949,197,12.555907,3.03132,"Human rotavirus A strain AK26 outer capsid spike protein (VP4) gene, complete cds",10941,Viruses,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,Rotavirus A,Human rotavirus A,Human rotavirus A,W153,27549039,7.150884646103264,7,2025-01-27,Wastewater
